Obj           Name     X     Y     Z         RA       DEC        VRAD   MAJ   MIN       PA     w_RA    w_DEC       w_50       w_20     w_VRAD     F_int     F_tot    F_peak S/Nmax  X1  X2  Y1  Y2  Z1  Z2  Npix Flag  X_av  Y_av  Z_av X_cent Y_cent Z_cent X_peak Y_peak Z_peak
#                                                                  [m/s] [deg] [deg]    [deg] [arcmin] [arcmin]      [m/s]      [m/s]      [m/s]  [Jy m/s] [Jy/beam] [Jy/beam]                                [pix]                                                                 
   43 J060744-232814  65.2 117.8 264.8 06:07:44.7 -23:28:14 2207035.503  0.21  0.18 138.2530    20.20    19.80 190419.532 220000.551 224252.462  4251.679     4.733     0.064  11.44  63  67 116 120 256 273   162    -  65.2 117.7 264.7   65.2  117.8  264.8     65    118    270
   44 J055800-231100  98.8 122.2 238.0 05:58:00.5 -23:11:00 1853025.374  0.23  0.15 145.5259    19.90    16.17 186140.424 222947.387 197869.819  2986.768     3.325     0.064  11.44  97 101 120 123 231 246   122    -  98.7 122.1 238.0   98.8  122.2  238.0     99    123    243
   45 J061503-225324  39.9 126.1 113.5 06:15:03.1 -22:53:24  210733.248  0.74  0.20  92.4998    52.60    22.73  55645.574  60198.687  26382.643   676.373     0.753     0.064  11.44  34  46 123 128 113 115    83    M  41.7 125.6 113.7   39.9  126.1  113.5     37    126    113
   46 J055849-263907  95.7  70.2 223.2 05:58:49.3 -26:39:07 1658056.655  0.23  0.19 128.0279    15.88    20.10 128852.596 149548.487 145104.534  3421.345     3.809     0.063  11.33  94  97  68  72 218 229   115    -  95.7  70.2 223.2   95.7   70.2  223.2     96     70    221
   47 J060641-275419  69.5  51.4 208.6 06:06:41.3 -27:54:19 1465896.043  0.34  0.26 159.7188    32.28    27.73 117925.895 261960.034 250635.105  4502.467     5.012     0.062  11.22  66  73  48  54 200 219   194    -  69.5  51.3 208.7   69.5   51.4  208.6     68     51    206
   48 J060341-262415  79.3  73.9 120.5 06:03:41.3 -26:24:15  303656.320  0.22  0.12 165.2535     8.06    19.98  53917.369  68562.064  79147.928   819.478     0.912     0.062  11.22  79  80  72  76 118 124    33    -  79.3  73.9 120.8   79.3   73.9  120.5     79     73    121
   49 J061739-230542  31.1 122.7 256.4 06:17:39.0 -23:05:42 2096388.304  0.25  0.18 164.7870    20.57    19.42 115760.409 150170.259 158295.855  3268.371     3.638     0.062  11.22  29  33 121 125 249 261   125    -  31.0 122.8 256.0   31.1  122.7  256.4     31    122    257
   50 J061211-233204  50.0 116.6 217.7 06:12:11.0 -23:32:04 1585696.614  0.30  0.14  26.9605    12.29    15.78  87913.717 117771.368 118721.892  1195.826     1.331     0.062  11.22  49  51 115 118 213 222    50    -  50.0 116.6 217.7   50.0  116.6  217.7     50    117    216
   51 J060900-275024  61.8  52.2 322.4 06:09:00.4 -27:50:24 2966680.170  0.22  0.17 150.3425    16.36    23.79 217797.483 264972.078 224252.462  3413.120     3.800     0.062  11.11  60  63  49  54 316 333   150    -  61.8  52.3 322.8   61.8   52.2  322.4     62     52    318
   52 J061911-224913  25.7 126.7 725.6 06:19:11.2 -22:49:13 8285417.453  0.30  0.11   2.6356     8.83    27.77 290925.363 373192.091 329783.032  3855.482     4.292     0.059  10.67  25  26 124 130 713 738   144    -  25.7 126.8 726.0   25.7  126.7  725.6     26    127    724
   53 J061750-231616  30.5 120.1 423.7 06:17:50.4 -23:16:16 4302393.639  0.29  0.01  26.6954     8.45    15.77 168678.169 208097.470 184678.498   530.089     0.590     0.057  10.23  30  31 118 121 418 432    24    -  30.5 120.0 423.9   30.5  120.1  423.7     30    121    422
   54 J055848-232123  96.0 119.6 531.1 05:58:48.9 -23:21:23 5720128.962  0.26  0.18 158.3212    15.79    36.14 134025.030 205373.543 197869.819  3003.875     3.344     0.051   9.13  95  98 116 124 525 540   118    -  96.0 119.7 531.1   96.0  119.6  531.1     96    118    531
   55 J055312-260934 114.6  77.4  45.7 05:53:12.4 -26:09:34 -683900.246  0.17  0.11  34.5683    11.80    12.20  96225.841 111140.586  92339.249   672.206     0.748     0.047   8.36 114 116  76  78  42  49    30    - 114.6  77.4  45.7  114.6   77.4   45.7    114     78     44
   56 J061447-254842  41.8  82.3 542.3 06:14:47.8 -25:48:42 5867070.008  0.31  0.20 144.6297    20.60    23.51 181976.294 211983.055 158295.855  2074.519     2.309     0.045   8.14  40  44  80  85 536 548    93    -  41.8  82.3 542.3   41.8   82.3  542.3     43     82    544
